id,status,link,title,time
12,not valid,https://youtu.be/6xOSxt9XMu0,Lookin' For Love,3.646666666666667
25,valid,https://www.youtube.com/watch?v=fEFsBF1X1ow,Chicago,4.190000166666667
37,valid,https://www.youtube.com/watch?v=aNuqKB6H3Iw,Foggy Mountain Breakdown,2.743333333333333
43,valid,https://www.youtube.com/watch?v=97_XpAE1YmQ,Two Hearts,3.4133333333333336
74,valid,https://www.youtube.com/watch?v=ABbc-O_3_Ac,Nowhere To Run,3.0133333333333336
78,valid,https://www.youtube.com/watch?v=5ZOTtZPr5Ew,Dial My Heart,4.466666666666667
92,valid,https://www.youtube.com/watch?v=CnVf1ZoCJSo,Shock The Monkey,4.05
99,not valid,https://youtu.be/YAAnKNrcWgk,A Trick Of The Night,4.61
114,valid,https://www.youtube.com/watch?v=zt51rITH3EA,Sunshine Of Your Love,4.090000166666667
147,not valid,https://youtu.be/GyekP61GoqY,Wheels,1.9433333333333331
159,not valid,https://youtu.be/P87q_yGhwVE,Little Sister,2.566666666666667
170,valid,https://www.youtube.com/watch?v=a1sf2CzEq0w,Twilight Zone,4.716666666666667
209,not valid,https://youtu.be/sk6iJcikg-U,Already Gone,4.266666666666667
236,not valid,https://youtu.be/3h5YhfK_53E,"Tonight, Tonight, Tonight",8.893334000000001
322,valid,https://www.youtube.com/watch?v=I65PxlOlHA4,Bird Dog,2.216666666666667
329,valid,https://www.youtube.com/watch?v=2gQEDwjhaDE,Smoking Gun,4.190000166666667
332,valid,https://www.youtube.com/watch?v=MKLVmBOOqVU,Waiting On A Friend,4.446616666666667
377,not valid,https://youtu.be/7N2niTPRljA,I Can't Stand The Rain,2.6
382,valid,https://www.youtube.com/watch?v=Jt2j79pca7c,Where The Streets Have No Name,4.423333333333333
414,valid,https://www.youtube.com/watch?v=OR0GZvDSCwY,Someone,3.8266666666666667
430,valid,https://www.youtube.com/watch?v=3ZwQRCkKxNE,I Want A New Drug,4.766666666666667
444,valid,https://www.youtube.com/watch?v=bTYw6IJoI_Q,I Really Don't Want To Know,2.7566668333333335
481,valid,https://www.youtube.com/watch?v=i09T799aNS8,"Baby, Baby Don't Cry",3.9833333333333334
503,not valid,https://youtu.be/Zjk4CCVxWZM,Good Vibrations,4.530000333333334
517,valid,https://www.youtube.com/watch?v=85Smw33PKJA,All Those Years Ago,3.67
591,valid,https://www.youtube.com/watch?v=DI_rkZIuHzw,The Long Run,3.703333333333333
709,valid,https://www.youtube.com/watch?v=wYYDaDPmqBs,Caught Up In The Rapture,5.283333333333333
723,not valid,https://youtu.be/csATs2arha0,Maybe Tomorrow,3.1
736,valid,https://www.youtube.com/watch?v=c6f6BOKXXxg,Do I Do,9.5
765,valid,https://www.youtube.com/watch?v=WVDSKaua0_U,Too Weak To Fight,2.296666666666667
769,valid,https://www.youtube.com/watch?v=ZONKoKIQ9RY,All Through The Night,4.583333333333333
770,valid,https://www.youtube.com/watch?v=x3qhle8Oy9s,Hair,3.55
783,valid,https://www.youtube.com/watch?v=tsE7W4RRdNg,Hot Child In The City,3.1599999999999997
812,valid,https://www.youtube.com/watch?v=QGe1z8G-rRk,Super Freak (Part I),3.7066668333333337
849,valid,https://www.youtube.com/watch?v=3EoI-6lQFIE,Do You Love Me,2.9033333333333333
886,valid,https://www.youtube.com/watch?v=V-xpJRwIA-Q,Dance Hall Days,3.966666666666667
905,valid,https://www.youtube.com/watch?v=EkaKwXddT_I,Teach Your Children,2.9
958,valid,https://www.youtube.com/watch?v=uetJoJj0M88,Miss You,4.833333333333333
969,valid,https://www.youtube.com/watch?v=DQoDqAdoBkY,Don't Ask Me Why,2.9866666666666664
978,not valid,https://youtu.be/0IzxHKI8PJE,The Look Of Love,11.233333333333333
987,valid,https://www.youtube.com/watch?v=nu6VbUAhs1M,Baby I'm Burnin',2.683333333333333
995,not valid,https://youtu.be/fxf2y8Tl9Ts,Gloria,3.81
1012,valid,https://www.youtube.com/watch?v=4LdUme7QZLY,All This Time,4.86
1114,valid,https://www.youtube.com/watch?v=RKeqXyY-9xA,Wichita Lineman,3.1300000000000003
1212,valid,https://www.youtube.com/watch?v=BjHSOzVU5j0,Baby Don't Go,3.1866666666666665
1218,valid,https://www.youtube.com/watch?v=O3iEFfA4TmI,Behind Closed Doors,3.1
1225,valid,https://www.youtube.com/watch?v=UGYE77y4qY4,I've Got A Tiger By The Tail,2.1566668333333334
1235,valid,https://www.youtube.com/watch?v=6ZINvp6SEw4,For Ol' Times Sake,3.6533333333333333
1239,valid,https://www.youtube.com/watch?v=cbxxkwBQk_o,Will You Love Me Tomorrow,2.640000166666667
1282,not valid,https://youtu.be/J56WN4Qud7w,Crackerbox Palace,3.996666666666667
